Provinsi,Paslon,Suara
Aceh,Jokowi-Ma'ruf,402474
Sumatera Utara,Jokowi-Ma'ruf,3921733
Sumatera Barat,Jokowi-Ma'ruf,407638
Riau,Jokowi-Ma'ruf,1246888
Jambi,Jokowi-Ma'ruf,858738
Sumatera Selatan,Jokowi-Ma'ruf,1916832
Bengkulu,Jokowi-Ma'ruf,582845
Lampung,Jokowi-Ma'ruf,2845798
Kepulauan Bangka Belitung,Jokowi-Ma'ruf,495500
Kepulauan Riau,Jokowi-Ma'ruf,548388
DKI Jakarta,Jokowi-Ma'ruf,3269971
Jawa Barat,Jokowi-Ma'ruf,10729229
Jawa Tengah,Jokowi-Ma'ruf,16784716
Daerah Istimewa Yogyakarta,Jokowi-Ma'ruf,1640789
Jawa Timur,Jokowi-Ma'ruf,16189282
Banten,Jokowi-Ma'ruf,2530608
Bali,Jokowi-Ma'ruf,2342628
Nusa Tenggara Barat,Jokowi-Ma'ruf,950480
Nusa Tenggara Timur,Jokowi-Ma'ruf,2362041
Kalimantan Barat,Jokowi-Ma'ruf,1707147
Kalimantan Tengah,Jokowi-Ma'ruf,828596
Kalimantan Selatan,Jokowi-Ma'ruf,823219
Kalimantan Timur,Jokowi-Ma'ruf,1093148
Sulawesi Utara,Jokowi-Ma'ruf,1218303
Sulawesi Tengah,Jokowi-Ma'ruf,913753
Sulawesi Selatan,Jokowi-Ma'ruf,2117839
Sulawesi Tenggara,Jokowi-Ma'ruf,554247
Gorontalo,Jokowi-Ma'ruf,369338
Sulawesi Barat,Jokowi-Ma'ruf,474852
Maluku,Jokowi-Ma'ruf,591661
Maluku Utara,Jokowi-Ma'ruf,310585
Papua,Jokowi-Ma'ruf,2363009
Papua Barat,Jokowi-Ma'ruf,437630
Kalimantan Utara,Jokowi-Ma'ruf,247352
Aceh,Prabowo-Sandi,2387904
Sumatera Utara,Prabowo-Sandi,3578597
Sumatera Barat,Prabowo-Sandi,2485265
Riau,Prabowo-Sandi,1973298
Jambi,Prabowo-Sandi,1200255
Sumatera Selatan,Prabowo-Sandi,2832745
Bengkulu,Prabowo-Sandi,585598
Lampung,Prabowo-Sandi,1951645
Kepulauan Bangka Belitung,Prabowo-Sandi,288097
Kepulauan Riau,Prabowo-Sandi,462666
DKI Jakarta,Prabowo-Sandi,3057851
Jawa Barat,Prabowo-Sandi,16044787
Jawa Tengah,Prabowo-Sandi,4939445
Daerah Istimewa Yogyakarta,Prabowo-Sandi,735789
Jawa Timur,Prabowo-Sandi,8419928
Banten,Prabowo-Sandi,4045338
Bali,Prabowo-Sandi,212586
Nusa Tenggara Barat,Prabowo-Sandi,2009305
Nusa Tenggara Timur,Prabowo-Sandi,305615
Kalimantan Barat,Prabowo-Sandi,1260600
Kalimantan Tengah,Prabowo-Sandi,536213
Kalimantan Selatan,Prabowo-Sandi,1467906
Kalimantan Timur,Prabowo-Sandi,870043
Sulawesi Utara,Prabowo-Sandi,359131
Sulawesi Tengah,Prabowo-Sandi,705310
Sulawesi Selatan,Prabowo-Sandi,2807109
Sulawesi Tenggara,Prabowo-Sandi,840029
Gorontalo,Prabowo-Sandi,344798
Sulawesi Barat,Prabowo-Sandi,263345
Maluku,Prabowo-Sandi,394493
Maluku Utara,Prabowo-Sandi,344366
Papua,Prabowo-Sandi,211032
Papua Barat,Prabowo-Sandi,108924
Kalimantan Utara,Prabowo-Sandi,105498
